tripId,typeofvehicle,weight,volume,efficiency in %,Packet Id's
1,2,96.000000,0.570000,21.333333,"7900838605,7900838606,7900838607"
2,2,249.690000,1.540000,55.486667,7900838573
3,2,165.390000,0.880000,36.753333,7900838574
4,2,387.640000,2.050000,86.142222,"7900838578,7900838572"
5,2,360.200000,1.640000,80.044444,"7900838578,7900838579"
6,3,762.550000,3.630000,97.762821,"7900838582,7900838576,7900838577,7900838583"
7,2,180.100000,0.820000,40.022222,7900838584
8,3,762.550000,3.630000,97.762821,"7900838577,7900838576,7900838582,7900838588"
9,2,66.100000,0.280000,14.688889,7900838580
10,2,180.100000,0.820000,40.022222,7900838585
11,2,222.250000,1.160000,49.388889,7900838581
12,3,711.070000,3.920000,91.162821,"7900838571,7900838575"
13,2,11.530000,0.010000,2.562222,7900838600
14,2,127.700000,0.620000,28.377778,7900838613
15,2,138.710000,0.820000,30.824444,7900838612
16,2,124.700000,0.620000,27.711111,7900838618
17,2,127.700000,0.620000,28.377778,7900838617
18,2,109.700000,0.620000,24.377778,7900838615
19,2,127.700000,0.620000,28.377778,7900838619
20,2,1.510000,0.010000,0.335556,7900838596
21,2,124.700000,0.620000,27.711111,7900838594
22,2,124.700000,0.620000,27.711111,7900838590
23,2,207.370000,1.630000,46.082222,"7900838595,7900838616,7900838598"
24,2,112.700000,0.620000,25.044444,7900838611
25,2,144.310000,12.650000,32.068889,"7900838603,7900838604,7900838609"
26,2,253.500000,1.270000,56.333333,"7900838609,7900838610,7900838603"
27,2,124.700000,0.620000,27.711111,7900838608
28,2,127.700000,0.620000,28.377778,7900838614
29,2,296.770000,1.010000,65.948889,7900838587
30,2,296.770000,1.010000,65.948889,7900838586
31,2,31.100000,0.020000,6.911111,7900838597
32,2,31.100000,0.020000,6.911111,7900838599
33,2,123.200000,1.620000,27.377778,"7900838601,7900838589"
34,2,31.100000,0.020000,6.911111,7900838602
35,need large vehicle,2437.600000,0.340000,+iff," "
36,need large vehicle,4713.410000,0.950000,+iff," "
